a, -9995.427145760235
ea, -9994.167739042041
ac, -9994.001548208333
omne, -9993.7639489762
ito, -9993.738523877835
ne, -9993.735084493534
S, -9993.599705695986
cio, -9993.447689488688
inquit, -9993.43788266074
Romanus, -9993.391003712513
ei, -9993.383686606696
queo, -9993.208196010837
neo, -9993.110183422787
hoc, -9993.035889778344
sino, -9992.989782320989
suum, -9992.976077218396
oporteo, -9992.91441710204
modo, -9992.864256135736
locum, -9992.783956193334
C, -9992.776121794002
alium, -9992.759124217633
M, -9992.741832720523
bellus, -9992.670761278343
pario, -9992.665755010066
e, -9992.66072355291
P, -9992.65946172309
no, -9992.650584049057
antes, -9992.648033027266
aio, -9992.618218764555
magus, -9992.54734442497
suo, -9992.480165887213
malum, -9992.457246625776
liceo, -9992.429031587975
os, -9992.411388788732
aliqui, -9992.398359288443
bonum, -9992.390128789306
Caesar, -9992.375140998342
amicus, -9992.365022868174
sero, -9992.342742597784
adfero, -9992.339270372073
littera, -9992.318179959415
L, -9992.31640218117
publica, -9992.312837115005
solum, -9992.292998772786
multum, -9992.267167078171
meum, -9992.246392015597
Roma, -9992.246392015597
potis, -9992.185409505319
dius, -9992.183379047769
Q, -9992.156600928687
patrius, -9992.076210213354
propinquus, -9992.076210213354
quam, -9992.071675058189
Graecus, -9992.067119241652
accido, -9992.025155042553
Christus, -9992.001057490974
adverto, -9991.991253490878
quid, -9991.97135233656
veneo, -9991.968836611963
V, -9991.968836611963
indo, -9991.948479674895
ceterum, -9991.943325024306
incido, -9991.943325024306
tantum, -9991.922436536357
loco, -9991.90379418555
summum, -9991.901102393884
condicio, -9991.884797684857
ver, -9991.882054198912
facile, -9991.845686554741
animo, -9991.831339106333
praesum, -9991.831339106333
totum, -9991.816782808559
proficio, -9991.810900438655
crassus, -9991.802011491238
mando, -9991.802011491238
comparo, -9991.7990308631
offero, -9991.793042821257
pareo, -9991.783992985736
maga, -9991.762552654498
ceteri, -9991.756341454406
utique, -9991.75322132707
castra, -9991.743802105153
uter, -9991.718241608174
pecco, -9991.715000114249
plerique, -9991.711748078862
saepes, -9991.705212107883
factum, -9991.705212107883
Pompeius, -9991.701928032682
confiteor, -9991.6752597856
sata, -9991.668480098615
regius, -9991.668480098615
adficio, -9991.640892142095
aliter, -9991.630347228918
primum, -9991.605301196993
senex, -9991.605301196993
Juppiter, -9991.601671428942
numero, -9991.590702397572
T, -9991.553244835037
Cicero, -9991.541728392975
memini, -9991.537859916198
potior, -9991.53397641617
vereor, -9991.530077775755
minus, -9991.530077775755
Cn, -9991.514329418787
Theodosius, -9991.514329418787
milito, -9991.510353270407
subicio, -9991.510353270407
Hannibal, -9991.510353270407
fateor, -9991.502353227741
multo, -9991.502353227741
exsisto, -9991.49832907744
sapio, -9991.490231867208
patro, -9991.482068556568
sus, -9991.482068556568
paulus, -9991.477961774615
Philippus, -9991.477961774615
