et, -2.82315314153523
in, -3.222987225645488
est, -3.7316687003583975
non, -3.794552858696413
ut, -3.9945210314246773
ad, -4.053460935455835
cum, -4.056895715951034
quod, -4.317563845858048
a, -4.32732999956314
si, -4.341790336020476
qui, -4.354008103704501
sed, -4.521223173597621
quae, -4.563312154077822
ex, -4.616106799188889
de, -4.676018053632364
quam, -4.6813418512764615
esse, -4.8031660614723615
aut, -4.810825650595898
se, -4.935745069444384
sunt, -4.9631051209777315
etiam, -5.046712708466118
enim, -5.0651942210719705
per, -5.068041346359004
ab, -5.082682075809171
nec, -5.096323495162912
vel, -5.143337571011647
hoc, -5.148901495139689
atque, -5.217958995334734
ac, -5.239930720879675
autem, -5.243488118633334
id, -5.280549718965433
quo, -5.340357610665756
ne, -5.388905839166072
quid, -5.399989755829446
eius, -5.417884918747941
sit, -5.456509854798922
ita, -5.50634147998077
tamen, -5.537766850168375
neque, -5.569178313021245
quidem, -5.584445785152034
haec, -5.592050384537252
eo, -5.620761630612685
cj, -5.629745544381697
nam, -5.647710836222641
iam, -5.6775788494137105
quoque, -5.689417875868095
ea, -5.7052052740257215
pro, -5.731859303940653
quibus, -5.743132767987398
nihil, -5.78355075543488
inter, -5.801778744870777
vero, -5.8391124793496205
quia, -5.870264792323421
eum, -5.8805548737656945
post, -5.895554760276529
erat, -5.904985022761589
modo, -5.92084809414831
quem, -5.930356362503607
his, -5.948138301749412
esset, -5.955712182943317
qua, -5.972579436908558
nisi, -6.003463859664901
tum, -6.017203035548206
sibi, -6.024596451248088
sine, -6.0412041876477485
te, -6.04729557704115
me, -6.052865587728582
ipse, -6.063911286477771
omnia, -6.090040359500471
ante, -6.09081360523782
conss, -6.099554070710025
fuit, -6.115482044846332
res, -6.11627522355141
sic, -6.123242505642322
ubi, -6.149349421923989
apud, -6.1717430593358165
causa, -6.193363231684225
tam, -6.205434945427336
potest, -6.206954207792268
ille, -6.211307719239466
quis, -6.22448314039803
imperator, -6.2432253222077705
omnes, -6.248418966037515
eorum, -6.250458626801291
quos, -6.255462048656208
d, -6.261407641290961
igitur, -6.295704715655025
eos, -6.3047653403490855
nunc, -6.307163423033098
an, -6.309326625414923
nos, -6.310530429581003
illa, -6.321673955747513
deinde, -6.329499869985629
omnibus, -6.33146595565213
mihi, -6.3406097237955885
k, -6.341851805684253
magis, -6.351342386409726
ei, -6.3780445450167225
tantum, -6.379334035846594
cuius, -6.403362353001012
contra, -6.405479315950917
imperatores, -6.4065394803756845
itaque, -6.42311740014445
rem, -6.434233144257686
nobis, -6.466650444690954
rei, -6.467213824987545
ego, -6.481116730156536
tibi, -6.485698639661648
dum, -6.488860924889967
eam, -6.501611025171121
ergo, -6.509516204678234
cui, -6.533312687460801
rerum, -6.538443225348255
re, -6.538745842993173
inquit, -6.54086673456231
hic, -6.559541699455659
ipsa, -6.5644983390955876
is, -6.5682320086476365
aa, -6.572292610822406
sua, -6.573545351355798
illud, -6.5922079205233475
omnium, -6.610249647008507
suis, -6.621364504814803
quasi, -6.6269686071691
pp, -6.629948248506195
sive, -6.639944999534905
tempore, -6.644981102171434
primum, -6.645317745837296
suo, -6.645317745837296
rebus, -6.649366334363296
die, -6.655810311215124
idem, -6.6698588547534134
at, -6.679567668880375
illi, -6.6799161616526765
e, -6.689723595779854
sint, -6.69007564647879
sub, -6.699628169144185
inde, -6.699983724703486
tunc, -6.714310617324248
satis, -6.7219152167094665
loco, -6.73582466497511
parte, -6.7398874591138975
fuerit, -6.740998364616036
minus, -6.7454543690185504
semper, -6.7461989706910765
alia, -6.756305738360851
ipsum, -6.761965063029752
posse, -6.770323774310635
c., -6.777599318561591
m., -6.793481891434516
propter, -6.8028974180347594
aliquid, -6.807638635924581
erant, -6.8092240504461214
maxime, -6.810811982498725
bellum, -6.817989046799089
sicut, -6.818789687354268
quas, -6.824815011869489
cc, -6.834531687508061
tu, -6.838608334001824
omnis, -6.849699020695983
quorum, -6.857994381412788
p., -6.870989743504865
solum, -6.871833981630145
eadem, -6.873101676708008
vos, -6.876065896536725
sui, -6.879889992975128
hac, -6.8828744334763785
fieri, -6.884583835602028
unum, -6.885867807531044
fuisse, -6.88629616478754
hanc, -6.897498350006051
quoniam, -6.9062016251343525
ibi, -6.919843200816506
multa, -6.921617037201797
usque, -6.926511374001937
omni, -6.9350220636698445
simul, -6.9390788643654595
l., -6.941339774213924
aliud, -6.941339774213924
possit, -6.942245571377305
habet, -6.942698777820594
ipsi, -6.949978154823495
erit, -6.950434880111178
suum, -6.955472674141135
saepe, -6.960997550073105
nomine, -6.963771476955831
dei, -6.964697831815961
super, -6.965625045605154
adversus, -6.969342522005286
natura, -6.969342522005286
ob, -6.974008886049051
urbem, -6.974944777553956
hominum, -6.9791671624338045
nomen, -6.983407451472689
huius, -6.988140067972789
unde, -6.993371946732121
nulla, -6.996237278205408
suam, -7.006331091374626
eodem, -7.011659270606252
iis, -7.017504391972752
homines, -7.020929890795779
tempus, -7.023383879757346
habere, -7.025351416053657
alii, -7.0357449765809195
illum, -7.039733017758875
iure, -7.042734520762632
facere, -7.043235648310078
illis, -7.044238657421246
dies, -7.0462476987800695
castra, -7.048260784512751
ii, -7.05078285394546
senatus, -7.0563538989949155
aliis, -7.061956154543585
rex, -7.062467010237965
romani, -7.065025210661004
vi, -7.079473346408389
locum, -7.081033814865485
verum, -7.084162076019295
ipso, -7.092552266821755
hunc, -7.0936060076990275
postea, -7.0967739089755835
constantinopoli, -7.101544657488716
dicere, -7.111691607032453
quantum, -7.117613562427916
eis, -7.121942573517503
