omnis, -4.154151017461517
possum, -4.325312733830378
res, -4.413550051883198
facio, -4.434763552960189
alius, -4.5524700197376085
habeo, -4.631636083648052
multus, -4.731676718403559
video, -4.770022514648093
verus, -5.000355843729725
homo, -5.047324139098674
deus, -5.051030134692992
imperator, -5.082778833007572
do, -5.112164116821929
magnus, -5.128523495704029
causa, -5.142552119239971
locus, -5.146629135079854
modus, -5.158271773155539
unus, -5.192727736377181
pars, -5.209504642756824
primus, -5.222764371122566
bonus, -5.25486865871158
dies, -5.277505343681613
tempus, -5.283212973652955
rex, -5.342984245613266
nihil, -5.361100683118569
nullus, -5.388761414401502
pater, -5.394706476499347
animus, -5.429631600531607
tantus, -5.431591350913861
bellum, -5.443431197784033
filius, -5.453405960146521
publicus, -5.50142529255035
venio, -5.508733485857075
urbs, -5.524836364205661
nomen, -5.532652151892592
ago, -5.5597265636575495
debeo, -5.5662659089365345
genus, -5.584736550791142
consul, -5.622916651858169
lex, -5.659954476088855
corpus, -5.6769737223384595
duo, -5.6808384614483485
parvus, -5.692131416354443
annus, -5.69350302428967
hostis, -5.701377080720576
alter, -5.734529288037477
verbum, -5.743764859070558
vir, -5.7458288432914095
accipio, -5.747690078447681
solus, -5.7652307244507695
ratio, -5.826698338940941
reus, -5.832314438168052
vis, -5.8325397395095475
mitto, -5.840003304631807
exercitus, -5.854638827702494
miles, -5.873005030343525
senatus, -5.891236860078512
kalendae, -5.911025150559901
vita, -5.91200052249775
credo, -5.92997023680235
magis, -5.939955342229347
fero, -5.947762962800333
civitas, -5.958439220791675
audio, -5.962279962934581
opus, -5.998058684531751
natura, -6.006067269780929
populus, -6.02173479718242
terra, -6.025280416606675
jus, -6.026373910428046
puto, -6.027468601287228
pono, -6.053263957491894
manus, -6.055232738890027
ceterus, -6.062579480044271
mors, -6.065988574255044
fides, -6.071410188334177
virtus, -6.07398861692212
scribo, -6.079453897317063
quaero, -6.101323846090294
scio, -6.104276313543561
peto, -6.110207529033526
certus, -6.11647340064533
castrum, -6.123381372251697
inquiam, -6.129730599930356
dominus, -6.1330725444048735
sequor, -6.136120398029127
mille, -6.14686163986054
relinquo, -6.153362204463633
capio, -6.15522729670463
duco, -6.192955657883391
oratio, -6.22379799756172
domus, -6.224131275351841
teneo, -6.226467335149389
longus, -6.235192222711265
legatus, -6.248082496174353
uterque, -6.248082496174353
imperium, -6.254590482836549
consilium, -6.260449538025952
sententia, -6.290271077856385
gero, -6.292767067741979
iudicium, -6.297419071121673
licet, -6.300652413259583
malus, -6.305341330777384
satis, -6.314420746699302
provincia, -6.3235833543235005
appello, -6.335807992576463
princeps, -6.355759717830277
iudex, -6.356520463397586
nemo, -6.356520463397586
voco, -6.360332896532242
invenio, -6.363393342685348
volo, -6.377282454846015
ager, -6.377671030720343
vinco, -6.378837665112822
fortuna, -6.387042438625971
singulus, -6.39373405973802
aqua, -6.397294894361029
frater, -6.401664315413998
honor, -6.414888310966897
facilis, -6.4156954135127275
oportet, -6.420146159277798
signum, -6.4311554447861665
gens, -6.435263913999915
numerus, -6.4385628860640285
ullus, -6.4414584413446105
tres, -6.442701964820916
intellego, -6.443531840387216
potestas, -6.444362405219016
trado, -6.449360333157071
arma, -6.450195755093714
maximus, -6.466202836551569
usus, -6.47430349905397
nascor, -6.475160030155585
pecunia, -6.479884110231678
ordo, -6.485929033647592
gratia, -6.495502648979306
talis, -6.495939998647331
dux, -6.496377539673782
refero, -6.497691312580066
regnum, -6.506494186326021
mos, -6.51582136920116
dico, -6.52478601910766
spes, -6.52478601910766
eques, -6.532923496199744
vox, -6.534740852447326
anima, -6.539755679460216
aetas, -6.543877508057467
patior, -6.544336539509182
constituo, -6.547095161948261
saepe, -6.548016396467582
medius, -6.54893848044255
similis, -6.555416985285754
oculus, -6.557275721880378
ars, -6.558206387373332
tuuus, -6.560070320811395
loquor, -6.5661522109034705
proprius, -6.567560992540552
jubeo, -6.572271316840736
cognosco, -6.573216050023897
periculum, -6.5755817951537665
finis, -6.5812825231814545
unde, -6.582235812100167
praesto, -6.583190010645849
vivo, -6.590375670306724
novus, -6.593746730566307
reddo, -6.596645283320319
paucus, -6.601008926608093
doceo, -6.601008926608093
recipio, -6.604903770869633
consto, -6.605391694763187
sanctus, -6.605879856842689
mater, -6.607345774525185
valeo, -6.611756465331674
caput, -6.619151125598466
copia, -6.628596883126922
coepio, -6.6295963834600045
velut, -6.646234024613028
navis, -6.646234024613028
officium, -6.650820019911632
tertius, -6.651841992407324
convenio, -6.651841992407324
pax, -6.661087050551376
tribunus, -6.66677917458772
acies, -6.671982099956443
species, -6.6730259413873405
moveo, -6.67459374939074
ostendo, -6.678261555441286
legio, -6.679311975705938
sermo, -6.692536183233879
dolor, -6.696805133153455
studium, -6.701629586359837
humanus, -6.7043199296559415
libertas, -6.707557924929716
liber, -6.711891626186835
intro, -6.714065540086454
alienus, -6.7151542718216515
plebs, -6.71842759716662
summus, -6.71842759716662
actio, -6.721163576985496
reliquus, -6.7239070629312465
communis, -6.726107283840848
efficio, -6.726658096303136
auctoritas, -6.734401497826131
respondeo, -6.739969440941375
civis, -6.740527944167287
gravis, -6.741645887268628
proelium, -6.7438855298621325
nox, -6.745007234971332
sentio, -6.746130199715957
quantus, -6.7472544269282375
servus, -6.751199205219254
mens, -6.751764017434212
mare, -6.760844670069959
accedo, -6.76198557150575
quantum, -6.7625565107162355
metus, -6.7665622385331625
auctor, -6.767709685589639
cogo, -6.768283903233898
spiritus, -6.768858450793513
pervenio, -6.771159947781792
ajo, -6.794471026650239
