Total,Ambiguous,Word,POS
298,281/18/17,intellego/intelligo/is/ere/lexi/lectum,PossibleVerb.
295,0/695/295,modo,adv.
294,221/93/73,annus/i,m.
282,88/377/194,lego/is/ere/legi/lectum,PossibleVerb.
281,281/0/0,quasi,conj.
281,261/37/20,judicium/ii,n.
279,29/2511/250,queo/is/ire/ii ou iui/itum,PossibleVerb.
279,279/0/0,quoniam,conj. sub.
277,167/174/110,vir/uiri,m.
277,0/871/277,suum/i,n.
276,197/145/79,consul/is,m.
274,274/0/0,at,conj. coord.
274,112/278/162,totus,adj.
273,75/509/198,nascor/eris/i/natus sum,PossibleVerb.
271,267/4/4,peto/is/ere/iui/itum,PossibleVerb.
270,270/0/0,urbs/urbis,f.
270,241/45/29,voco/as/are,PossibleVerb.
269,185/106/84,duco/is/ere/duxi/ductum,PossibleVerb.
268,27/435/241,sino/is/ere/siui/situm,PossibleVerb.
267,267/0/0,P,P.
267,221/126/46,nemo/nullius/nt. nihil/nil (rart. neminis),pron.
267,0/745/267,alium/ii,n.
265,163/163/102,judico/as/are,PossibleVerb.
265,0/589/265,locum/cf. locus,PossibleVerb.
263,62/442/201,Romanus,adj.
263,263/0/0,nego/as/are,PossibleVerb.
263,189/115/74,vita/ae,f.
262,196/163/66,rex/regis,m.
260,260/0/0,semper,adv.
258,220/43/38,efficio/is/ere/effeci/effectum,PossibleVerb.
256,170/124/86,capio/is/ere/cepi/captum,PossibleVerb.
255,209/64/46,hostis/is,m.
245,245/0/0,C,npr.
245,245/0/0,aqua/ae,f.
245,217/31/28,sequor/eris/i/secutus sum,PossibleVerb.
243,243/0/0,consilium/ii,n.
241,241/0/0,sive,(seu) conj.
237,237/0/0,necesse,adj.
237,19/456/218,malus,adj.
236,236/0/0,virtus/utis,f.
235,171/89/64,sentio/is/ire/sensi/sensum,PossibleVerb.
232,0/629/232,vero,adv.
230,165/75/65,uterque/utraque/utrumque,PossibleVerb.
230,113/193/117,appello/as/are,PossibleVerb.
228,228/0/0,civitas/atis,f.
228,165/83/63,moveo/es/ere/moui/motum,PossibleVerb.
227,23/400/204,rego/is/ere/rexi/rectum,PossibleVerb.
227,218/9/9,quisquis/quidquid ou quicquid,PossibleVerb.
226,226/0/0,sententia/ae,f.
224,201/24/23,convenio/is/ire/ueni/uentum,PossibleVerb.
224,151/91/73,gero/is/ere/gessi/gestum,PossibleVerb.
222,57/225/165,certus,adj.
221,5/430/216,antes/ium,m.
221,0/460/221,populus/poplus/i,m.
221,0/460/221,populus/i,f.
220,7/552/213,no/as/are,PossibleVerb.
