Total,Ambiguous,Word,POS
74,45/39/29,capio/is/ere/cepi/captum,PossibleVerb.
74,0/235/74,meum/i,n.
73,73/0/0,inter,prep. + acc.
73,73/0/0,apud/aput,prep. + acc.
72,72/0/0,frater/tris,m.
72,67/8/5,vos/uestrum,pl. pron.
72,28/80/44,quantus/a/um/adj./pron. excl et interr,PossibleVerb.
71,58/24/13,dies/ei,m. et f.
71,54/20/17,gero/is/ere/gessi/gestum,PossibleVerb.
71,13/74/58,parvus,adj.
70,16/79/54,certus,adj.
70,0/162/70,modo,adv.
70,0/134/70,publicus,adj.
69,69/0/0,sententia/ae,f.
69,69/0/0,ratio/onis,f.
69,62/12/7,voco/as/are,PossibleVerb.
69,11/106/58,sino/is/ere/siui/situm,PossibleVerb.
68,55/15/13,sentio/is/ire/sensi/sensum,PossibleVerb.
67,67/0/0,alter/era/erum,PossibleVerb.
67,37/78/30,solus,adj.
66,66/0/0,ubi,adv. interr. ou rel.
66,66/0/0,duo/ae/o,pl.
66,5/88/61,genus/eris,n.
66,3/132/63,malus,adj.
66,26/69/40,totus,adj.
66,0/503/66,quid,adv. interr.
65,65/0/0,tecum/pron. contr. tecum = cum te,PossibleVerb.
65,65/0/0,itaque,conj.
64,64/0/0,urbs/urbis,f.
64,64/0/0,e,prep. + abl.
64,64/0/0,defendo/is/ere/fendi/fensum,PossibleVerb.
64,39/32/25,scribo/is/ere/scripsi/scriptum,PossibleVerb.
64,14/105/50,locus/i,m.
63,63/0/0,voluptas/atis,f.
63,60/3/3,intellego/intelligo/is/ere/lexi/lectum,PossibleVerb.
62,62/0/0,dum,conj. sub.
62,58/7/4,miser,adj.
61,61/0/0,sive,(seu) conj.
61,61/0/0,o,excl.
61,61/0/0,cur,adv.
61,52/10/9,teneo/es/ere/ui/tentum,PossibleVerb.
61,50/15/11,dolor/oris,m.
61,47/22/14,hostis/is,m.
60,7/97/53,summus,adj.
59,59/0/0,propter,prep. + acc.
59,59/0/0,nego/as/are,PossibleVerb.
59,59/0/0,inquam,v.
59,28/52/31,fortuna/ae,f.
59,0/153/59,potis/pote,PossibleVerb.
58,58/0/0,civitas/atis,f.
58,58/0/0,bene,adv.
58,56/2/2,sequor/eris/i/secutus sum,PossibleVerb.
58,54/4/4,invenio/is/ire/ueni/uentum,PossibleVerb.
58,46/14/12,nolo/non uis/nolle/nolui,PossibleVerb.
57,53/6/4,gratia/ae,f.
57,49/9/8,rogo/as/are,PossibleVerb.
57,48/11/9,uxor/oris,f.
57,18/81/39,lego/is/ere/legi/lectum,PossibleVerb.
56,56/0/0,consilium/ii,n.
56,0/180/56,suum/i,n.
55,55/0/0,ullus,adj.
55,55/0/0,post/adv,prep. + acc.
55,55/0/0,existimo/existumo/as/are,PossibleVerb.
55,47/9/8,annus/i,m.
54,54/0/0,oratio/onis,f.
54,54/0/0,oporteo/v. defectif utilise seulement a la 3eme personne du singulier,PossibleVerb.
54,54/0/0,numquam,adv.
54,46/13/8,vinco/is/ere/uici/uictum,PossibleVerb.
54,45/10/9,jubeo/es/ere/iussi/iussum,PossibleVerb.
54,0/672/54,qui,adv.
54,0/108/54,antes/ium,m.
54,0/108/54,ante,prep. +acc.
53,53/0/0,terra/ae,f.
53,53/0/0,quasi,conj.
53,53/0/0,oculus/i,m.
53,48/11/5,vox/uocis,f.
53,42/13/11,uterque/utraque/utrumque,PossibleVerb.
53,24/51/29,morior/eris/i/mortuus sum,PossibleVerb.
52,52/0/0,periculum/periclum/i,n.
52,52/0/0,mater/tris,f.
52,47/5/5,disco/is/ere/didici,PossibleVerb.
51,42/10/9,pono/is/ere/posui/situm,PossibleVerb.
51,41/12/10,probo/as/are,PossibleVerb.
50,50/0/0,tunc,adv.
49,46/4/3,cogito/as/are,PossibleVerb.
49,0/110/49,locum/cf. locus,PossibleVerb.
48,48/0/0,unde,adv. interr. ou rel.
48,48/0/0,deinde/dein,adv.
48,46/3/2,scelus/eris,n.
48,42/7/6,doceo/es/ere/cui/ctum,PossibleVerb.
48,24/37/24,imperator/induperator/oris,m.
48,0/114/48,publica/ae,f.
48,0/100/48,populus/poplus/i,m.
48,0/100/48,populus/i,f.
47,46/1/1,postulo/as/are,PossibleVerb.
47,44/3/3,adfero/fers/ferre/adttuli att-/adlatum all-,PossibleVerb.
47,41/10/6,mitto/is/ere/misi/missum,PossibleVerb.
47,38/11/9,valeo/es/ere/ui/itum,PossibleVerb.
47,34/23/13,fides/ei,f.
47,34/17/13,duco/is/ere/duxi/ductum,PossibleVerb.
47,20/50/27,soleo/es/ere/solitus sum : avoir l'habitude de (solitus,adj.
47,15/52/32,manus/us,f.
47,11/94/36,nascor/eris/i/natus sum,PossibleVerb.
46,46/0/0,P,P.
46,46/0/0,gloria/ae,f.
46,36/17/10,nosco/is/ere/noui/notum,PossibleVerb.
46,36/11/10,contemno/is/ere/tempsi/temptum,PossibleVerb.
46,34/17/12,salus/utis,f.
46,12/63/34,occido/is/ere/occidi/occisum (ob + caedo),PossibleVerb.
45,25/28/20,patior/eris/i/passus sum,PossibleVerb.
45,2/101/43,patrius,adj.
45,11/48/34,honor/oris,m.
45,0/99/45,sine,prep. + abl.
44,8/63/36,liber/era/erum,PossibleVerb.
44,44/0/0,L,num. abrev.
44,40/4/4,concedo/is/ere/cessi/cessum,PossibleVerb.
44,0/87/44,contra,prep. + acc.
44,0/87/44,contra,adv.
43,43/0/0,pecunia/ae,f.
43,35/10/8,quisquis/quidquid ou quicquid,PossibleVerb.
43,34/22/9,mos/moris,m.
43,32/13/11,perdo/is/ere/didi/ditum : detruire/ruiner/aneantir ; perdre perditus,adj.
43,30/18/13,crassus,adj.
43,27/24/16,tollo/is/tollere/sustuli/sublatum,PossibleVerb.
43,15/59/28,consulo/is/ere/sului/sultum,PossibleVerb.
43,12/60/31,fortis,e
42,42/0/0,umquam,adv.
42,42/0/0,Q,,PossibleVerb.
42,42/0/0,littera/ae,f.
42,33/11/9,moveo/es/ere/moui/motum,PossibleVerb.
42,32/12/10,censeo/es/ere/censui/censum,PossibleVerb.
42,29/16/13,praesto/as,are
42,19/39/23,appello/as/are,PossibleVerb.
42,0/126/42,alium/ii,n.
42,0/104/42,quoque,adv.
41,9/65/32,Romanus,adj.
41,41/0/0,sermo/onis,m.
41,41/0/0,crimen/inis,n.
41,41/0/0,aetas/atis,f.
41,35/10/6,laudo/as/are,PossibleVerb.
41,26/18/15,nox/noctis,f.
41,22/100/19,via/ae,f.
41,18/53/23,judex/icis,m.
41,11/44/30,opus/operis,n.
41,1/80/40,bellus,adj.
40,40/0/0,similis,e
