Total,Ambiguous,Word,POS
112,108/6/4,noster/tra/trum,adj. pron.
110,82/37/28,duco/is/ere/duxi/ductum,PossibleVerb.
110,110/0/0,postea,adv.
110,110/0/0,at,conj. coord.
109,99/20/10,judicium/ii,n.
109,109/0/0,corpus/oris,n.
109,109/0/0,civitas/atis,f.
108,21/170/87,pario/is/ere/peperi/partum,PossibleVerb.
108,108/0/0,reddo/is/ere/ddidi/dditum,PossibleVerb.
106,106/0/0,sive,(seu) conj.
105,89/17/16,pono/is/ere/posui/situm,PossibleVerb.
105,86/26/19,regnum/i,n.
105,8/190/97,lego/as/are,PossibleVerb.
104,65/67/39,vivo/is/ere/uixi/uictum,PossibleVerb.
103,69/44/34,adeo/is/ire/ii/itum,PossibleVerb.
103,48/84/55,manus/us,f.
103,103/0/0,provincia/ae,f.
102,102/0/0,hereditas/haereditas/atis,f.
102,102/0/0,dum,conj. sub.
102,1/293/101,neo/es/ere/nevi/netum,PossibleVerb.
102,0/245/102,vero,adv.
101,70/54/31,fides/ei,f.
101,101/0/0,ob,prep. + acc.
100,0/413/100,suo/is/ere/sui/sutum,PossibleVerb.
99,86/16/13,libertas/atis,f.
99,43/91/56,liber/era/erum,PossibleVerb.
99,29/153/70,impero/as/are,PossibleVerb.
97,97/0/0,ratio/onis,f.
97,97/0/0,C,npr.
97,68/58/29,consul/is,m.
96,94/3/2,gratia/ae,f.
95,95/0/0,e,prep. + abl.
95,0/218/95,quoque,adv.
94,84/11/10,puto/as/are,PossibleVerb.
94,78/18/16,teneo/es/ere/ui/tentum,PossibleVerb.
94,53/63/41,totus,adj.
94,0/286/94,ne,conj. sub. + subj.
94,0/286/94,ne,adv.
93,93/0/0,impono/is/ere/sui/situm,PossibleVerb.
93,79/17/14,praesto/as,are
93,73/26/20,concedo/is/ere/cessi/cessum,PossibleVerb.
92,75/23/17,voco/as/are,PossibleVerb.
90,61/37/29,gero/is/ere/gessi/gestum,PossibleVerb.
90,47/77/43,judico/as/are,PossibleVerb.
89,89/0/0,ergo,conj.
89,83/12/6,iste/a/ud,pron.
89,62/37/27,constituo/is/ere/tui/tutum,PossibleVerb.
89,18/157/71,Romanus,adj.
88,88/0/0,imperium/ii,n.
87,87/0/0,offero/fers/ferre/obtuli/oblatum,PossibleVerb.
87,64/29/23,quisquam/quaequam/quidquam ou quic-,PossibleVerb.
87,6/199/81,rego/is/ere/rexi/rectum,PossibleVerb.
87,45/83/42,judex/icis,m.
87,28/144/59,nascor/eris/i/natus sum,PossibleVerb.
87,20/140/67,lego/is/ere/legi/lectum,PossibleVerb.
86,65/64/21,nemo/nullius/nt. nihil/nil (rart. neminis),pron.
86,60/32/26,domus/us ou i,f.
85,85/0/0,nunc,adv.
85,84/1/1,loquor/eris/i/locutus sum,PossibleVerb.
85,77/9/8,adfero/fers/ferre/adttuli att-/adlatum all-,PossibleVerb.
83,2/149/81,sino/is/ere/siui/situm,PossibleVerb.
82,82/0/0,propter,prep. + acc.
82,69/16/13,uxor/oris,f.
82,56/34/26,scio/is/ire/sciui/scitum,PossibleVerb.
82,0/185/82,locum/cf. locus,PossibleVerb.
82,0/152/82,publicus,adj.
81,81/0/0,terra/ae,f.
81,81/0/0,restituo/is/ere/tui/tutum,PossibleVerb.
81,81/0/0,M,npr.
81,81/0/0,aqua/ae,f.
81,81/0/0,ajo/is/-,PossibleVerb.
81,68/20/13,hostis/is,m.
81,47/66/34,meus/mea/meum,PossibleVerb.
80,37/116/43,solus,adj.
80,25/99/55,consulo/is/ere/sului/sultum,PossibleVerb.
79,79/0/0,mulier/is,f.
79,78/1/1,coepio/is/ere/coepi/coeptum,PossibleVerb.
79,72/7/7,intellego/intelligo/is/ere/lexi/lectum,PossibleVerb.
79,71/12/8,vos/uestrum,pl. pron.
78,76/2/2,competo/is/ere/petivi (ii)/petitum,PossibleVerb.
78,68/11/10,convenio/is/ire/ueni/uentum,PossibleVerb.
77,63/19/14,solvo/is/ere/ui/utum,PossibleVerb.
77,0/162/77,bellus,adj.
77,0/162/77,bellum/i,n.
76,76/0/0,P,P.
76,76/0/0,Caesar/aris,m.
76,76/0/0,accedo/is/ere/cessi/cessum,PossibleVerb.
76,55/28/21,cognosco/is/ere/noui,cognitum
75,75/0/0,defero/fers/ferre/tuli/latum,PossibleVerb.
75,72/12/3,filia/ae,f.
75,0/212/75,alium/ii,n.
74,74/0/0,nego/as/are,PossibleVerb.
74,74/0/0,consilium/ii,n.
74,68/6/6,invenio/is/ire/ueni/uentum,PossibleVerb.
74,0/171/74,modo,adv.
73,73/0/0,Roma/ae,f.
72,72/0/0,sententia/ae,f.
72,72/0/0,oporteo/v. defectif utilise seulement a la 3eme personne du singulier,PossibleVerb.
72,72/0/0,mater/tris,f.
72,25/63/47,certus,adj.
70,70/0/0,testamentum/i,n.
70,70/0/0,sicut,adv.
70,54/25/16,miles/itis,m.
70,43/39/27,sentio/is/ire/sensi/sensum,PossibleVerb.
70,0/171/70,licet/licere/licuit,impers.
69,8/92/61,secundus,adj.
69,69/0/0,voluntas/atis,f.
69,69/0/0,unde,adv. interr. ou rel.
69,50/23/19,moveo/es/ere/moui/motum,PossibleVerb.
68,68/0/0,pervenio/is/ire/ueni/uentum,PossibleVerb.
68,68/0/0,aetas/atis,f.
68,3/128/65,antes/ium,m.
68,0/141/68,populus/poplus/i,m.
68,0/141/68,populus/i,f.
