Frequency,Verb
-7.523378024435254,pervenio
-7.523378024435254,aetas
-7.523378024435254,antes
-7.538193110220394,praetor
-7.538193110220394,refero
-7.538193110220394,redeo
-7.538193110220394,honor
-7.553230987584935,virtus
-7.553230987584935,amicus
-7.568498459715723,infero
-7.568498459715723,recipio
-7.568498459715723,morior
-7.568498459715723,paro
-7.568498459715723,adversus
-7.568498459715723,senex
-7.5840026462516885,sin
-7.5840026462516885,quoniam
-7.5840026462516885,rogo
-7.5840026462516885,sine
-7.599751003219827,sub
-7.599751003219827,similis
-7.599751003219827,longus
-7.599751003219827,no
-7.599751003219827,summus
-7.599751003219827,ante
-7.615751344566269,permitto
-7.615751344566269,ceterus
-7.6320118654380495,consulatus
-7.6320118654380495,poena
-7.6320118654380495,uterque
-7.6320118654380495,patior
-7.6320118654380495,exerceo
-7.6320118654380495,os
-7.64854116738926,possessio
-7.64854116738926,oratio
-7.64854116738926,Lampadium
-7.64854116738926,ibi
-7.64854116738926,succedo
-7.64854116738926,praecipio
-7.64854116738926,sancio
-7.64854116738926,veneo
-7.665348285705641,semper
-7.665348285705641,sequor
-7.665348285705641,caput
-7.665348285705641,servo
-7.665348285705641,curo
-7.665348285705641,malus
-7.665348285705641,genus
-7.665348285705641,exercitus
-7.682442719064941,procedo
-7.682442719064941,finis
-7.682442719064941,dono
-7.682442719064941,sto
-7.682442719064941,aliqui
-7.682442719064941,Pompeius
-7.699834461776811,oculus
-7.699834461776811,L
-7.699834461776811,nuntio
-7.699834461776811,quicumque
-7.699834461776811,vinco
-7.699834461776811,quantus
-7.699834461776811,regius
-7.717534038876211,civis
-7.717534038876211,ostendo
-7.717534038876211,nolo
-7.717534038876211,officium
-7.717534038876211,occido
-7.73555254437889,littera
-7.73555254437889,alexander
-7.73555254437889,talis
-7.73555254437889,multum
-7.753901683047086,supra
-7.753901683047086,spes
-7.753901683047086,cogo
-7.753901683047086,novus
-7.753901683047086,mille
-7.753901683047086,saepe
-7.753901683047086,patrius
-7.7725938160592385,periculum
-7.7725938160592385,gravis
-7.791642011029933,ullus
-7.791642011029933,aufero
-7.791642011029933,ager
-7.791642011029933,acquiro
-7.791642011029933,occurro
-7.791642011029933,tribuo
-7.791642011029933,placeo
-7.791642011029933,pax
