Frequency,Verb
-7.543645695277654,quando
-7.543645695277654,ostendo
-7.543645695277654,nolo
-7.559394052245794,umquam
-7.559394052245794,imperium
-7.559394052245794,gloria
-7.559394052245794,crimen
-7.559394052245794,coepio
-7.559394052245794,novus
-7.559394052245794,bellus
-7.559394052245794,locum
-7.5753943935922345,deinde
-7.5753943935922345,pereo
-7.5753943935922345,dolor
-7.5753943935922345,quoque
-7.5753943935922345,sero
-7.5753943935922345,labor
-7.591654914464015,voluptas
-7.591654914464015,probo
-7.591654914464015,vinco
-7.591654914464015,quam
-7.591654914464015,malum
-7.608184216415225,patrius
-7.608184216415225,quisquis
-7.608184216415225,via
-7.608184216415225,bellum
-7.608184216415225,multum
-7.6249913347316065,sicut
-7.6249913347316065,accuso
-7.6249913347316065,pax
-7.6249913347316065,pario
-7.6249913347316065,meo
-7.642085768090906,censeo
-7.642085768090906,liceo
-7.659477510802776,dignitas
-7.659477510802776,efficio
-7.659477510802776,mens
-7.677177087902177,reddo
-7.677177087902177,o
-7.677177087902177,mater
-7.677177087902177,profero
-7.677177087902177,perdo
-7.677177087902177,moveo
-7.695195593404855,Quiris
-7.695195593404855,mecum
-7.695195593404855,malo
-7.695195593404855,valeo
-7.695195593404855,nascor
-7.695195593404855,senex
-7.713544732073052,timeo
-7.713544732073052,crassus
-7.713544732073052,aliqui
-7.713544732073052,bonum
-7.732236865085204,e
-7.732236865085204,denique
-7.732236865085204,conscribo
-7.732236865085204,bene
-7.732236865085204,postulo
-7.732236865085204,salus
-7.732236865085204,princeps
-7.751285060055898,ob
-7.751285060055898,L
-7.751285060055898,interrogo
-7.751285060055898,Caesar
-7.751285060055898,adhuc
-7.751285060055898,regnum
-7.751285060055898,consulo
-7.751285060055898,no
-7.751285060055898,antonius
-7.751285060055898,super
-7.770703145913,unde
-7.770703145913,diu
-7.770703145913,brutus
-7.770703145913,praesto
-7.770703145913,memoria
-7.770703145913,suo
-7.79050577320918,spiritus
-7.79050577320918,ingenium
