Frequency,Verb
-7.212762449348157,impetus
-7.218768473408368,reperio
-7.218768473408368,postulo
-7.218768473408368,concedo
-7.224810787864332,dimitto
-7.224810787864332,legatus
-7.230889833940713,efficio
-7.230889833940713,ceterum
-7.23700606095815,imperator
-7.23700606095815,tres
-7.2431599265325275,honestus
-7.2431599265325275,lex
-7.2431599265325275,vero
-7.249351896780449,vetus
-7.249351896780449,sibus
-7.2618520595446805,mater
-7.2618520595446805,poena
-7.2618520595446805,occido
-7.280900254515375,fortis
-7.280900254515375,spatium
-7.280900254515375,confero
-7.280900254515375,antonius
-7.287331144845665,invidia
-7.300318340372477,talis
-7.300318340372477,reddo
-7.300318340372477,quin
-7.300318340372477,auctoritas
-7.300318340372477,equus
-7.306875740918636,cado
-7.306875740918636,prius
-7.306875740918636,mons
-7.313476424949988,classis
-7.313476424949988,superus
-7.326809955819453,soleo
-7.326809955819453,magnitudo
-7.333543988000796,praesum
-7.333543988000796,consto
-7.333543988000796,frumentum
-7.333543988000796,ceteri
-7.340323674986176,decerno
-7.340323674986176,nobilis
-7.340323674986176,insidiae
-7.340323674986176,traho
-7.347149640056576,magistratus
-7.347149640056576,consulatus
-7.347149640056576,amitto
-7.347149640056576,beneficium
-7.347149640056576,vox
-7.347149640056576,arbitror
-7.347149640056576,suscipio
-7.354022519344338,voluntas
-7.354022519344338,statim
-7.354022519344338,consuetudo
-7.367911631505005,agmen
-7.367911631505005,sermo
-7.381996371386744,libido
-7.381996371386744,familia
-7.381996371386744,castellum
-7.389113839155607,timor
-7.389113839155607,facinus
-7.389113839155607,via
-7.3962823286342205,patrius
-7.3962823286342205,agrippina
-7.3962823286342205,obtineo
-7.3962823286342205,verto
-7.403502576607707,orior
-7.403502576607707,omitto
-7.403502576607707,uxor
-7.410775335936787,accedo
-7.41810137602886,mens
-7.41810137602886,species
-7.425481483326482,memoria
-7.425481483326482,dius
-7.432916461814001,occupo
-7.440407133543158,timeo
-7.440407133543158,necessarius
-7.447954339178541,oro
-7.447954339178541,propono
-7.447954339178541,praeficio
-7.45555893856376,cura
-7.45555893856376,sustineo
-7.45555893856376,odium
-7.45555893856376,ferus
-7.46322181130933,curo
-7.46322181130933,exemplum
-7.47094385740324,praetor
-7.47094385740324,facile
-7.478725997845295,deduco
-7.478725997845295,laudo
-7.478725997845295,tempto
-7.478725997845295,colloco
-7.486569175306321,hortor
-7.486569175306321,pauci
-7.486569175306321,suspicio
-7.494474354813434,caedo
-7.494474354813434,ostendo
-7.494474354813434,sumo
-7.5024425244626105,egredior
-7.5024425244626105,posterus
-7.5024425244626105,defero
-7.5024425244626105,spero
-7.5024425244626105,insula
-7.510474696159875,sus
-7.518571906392494,clarus
-7.518571906392494,vito
-7.518571906392494,ars
-7.526735217031655,utilitas
-7.526735217031655,celeriter
-7.526735217031655,resisto
-7.526735217031655,valeo
-7.534965716168171,initium
-7.534965716168171,loquor
-7.534965716168171,inquit
-7.534965716168171,cedo
-7.534965716168171,sero
-7.543264518982866,opinio
-7.543264518982866,coniuratio
-7.543264518982866,complures
-7.543264518982866,sentio
-7.551632768653382,conor
-7.551632768653382,murus
-7.551632768653382,amplus
-7.551632768653382,supra
-7.551632768653382,praemium
-7.551632768653382,regio
-7.560071637299247,tertius
-7.560071637299247,tot
-7.560071637299247,societas
-7.560071637299247,aqua
-7.560071637299247,filia
-7.560071637299247,mando
-7.568582326967156,provideo
-7.568582326967156,impedio
-7.568582326967156,pello
-7.568582326967156,adduco
-7.568582326967156,opera
-7.568582326967156,iuro
-7.568582326967156,offero
-7.568582326967156,desum
-7.5771660706585475,loco
-7.5771660706585475,secundus
-7.5771660706585475,templum
-7.5771660706585475,dolor
-7.5771660706585475,munus
-7.5771660706585475,passus
-7.585824133401662,invenio
-7.585824133401662,tribuo
-7.585824133401662,creber
-7.585824133401662,advenio
-7.594557813370416,auctor
-7.594557813370416,subsidium
