Frequency,Verb
-7.541736635547828,littera
-7.541736635547828,gloria
-7.5509532906527514,mater
-7.560255683315066,tamquam
-7.560255683315066,princeps
-7.5696454236649044,trado
-7.579124167619448,umquam
-7.579124167619448,patrius
-7.588693618635599,crimen
-7.588693618635599,bellus
-7.588693618635599,quoque
-7.5983555295473355,novus
-7.5983555295473355,quisquis
-7.608111704492701,auctoritas
-7.608111704492701,imperium
-7.608111704492701,valeo
-7.608111704492701,nascor
-7.617964000935712,accedo
-7.617964000935712,quam
-7.617964000935712,via
-7.6279143317888805,saepe
-7.6279143317888805,censeo
-7.6279143317888805,postulo
-7.6279143317888805,sive
-7.6279143317888805,tecum
-7.637964667642382,cognosco
-7.637964667642382,sero
-7.637964667642382,perdo
-7.637964667642382,salus
-7.637964667642382,unde
-7.6481170391064,bellum
-7.6481170391064,moveo
-7.6481170391064,scelus
-7.6481170391064,antonius
-7.6583735392735885,orator
-7.6583735392735885,coepio
-7.6583735392735885,crassus
-7.668736326309135,longus
-7.668736326309135,quando
-7.668736326309135,ostendo
-7.668736326309135,L
-7.679207626176431,pario
-7.679207626176431,reddo
-7.679207626176431,consulo
-7.679207626176431,contemno
-7.6897897355069675,sicut
-7.6897897355069675,accuso
-7.6897897355069675,timeo
-7.700485024623715,multum
-7.700485024623715,liceo
-7.700485024623715,malo
-7.700485024623715,bonum
-7.700485024623715,praesto
-7.700485024623715,imperator
-7.722225011260122,pereo
-7.722225011260122,dignitas
-7.722225011260122,no
-7.722225011260122,concedo
-7.733274847446706,redeo
-7.733274847446706,honor
-7.744448148044832,efficio
-7.744448148044832,adhuc
-7.744448148044832,diu
-7.744448148044832,labor
-7.755747703298765,mens
-7.755747703298765,nescio
-7.767176399122388,ob
-7.767176399122388,brutus
-7.767176399122388,ordo
-7.767176399122388,pecunia
-7.778737221523464,pax
-7.778737221523464,denique
-7.778737221523464,suo
-7.778737221523464,senex
-7.790433261286655,regnum
-7.790433261286655,licet
-7.790433261286655,cogito
-7.802267718933658,voluntas
-7.802267718933658,super
-7.814243909980373,profero
-7.814243909980373,aliqui
-7.814243909980373,interrogo
-7.814243909980373,cupio
-7.826365270512718,meo
-7.838635363104533,confero
-7.838635363104533,Q
-7.85105788310309,ceterus
-7.85105788310309,nox
-7.86363666530995,potestas
-7.86363666530995,cogo
-7.86363666530995,uxor
-7.87637569108738,mecum
-7.87637569108738,gravis
-7.87637569108738,paro
-7.87637569108738,convenio
-7.87637569108738,ignoro
-7.87637569108738,sub
-7.87637569108738,solum
-7.889279095923287,ingenium
-7.889279095923287,aequus
-7.889279095923287,facilis
-7.889279095923287,amo
-7.889279095923287,tollo
-7.90235117749064,memoria
-7.90235117749064,spiritus
-7.90235117749064,taceo
-7.90235117749064,servo
-7.90235117749064,summum
-7.915596404240661,fortasse
-7.915596404240661,spes
-7.915596404240661,quin
-7.929019424572802,talis
-7.929019424572802,suscipio
-7.929019424572802,rego
-7.929019424572802,omnino
-7.929019424572802,patria
-7.929019424572802,similis
-7.929019424572802,quantum
-7.94262507662858,absum
-7.94262507662858,quomodo
-7.94262507662858,necesse
-7.94262507662858,tot
-7.956418398760916,testimonium
-7.956418398760916,ideo
-7.956418398760916,dubito
-7.970404640735656,tantum
-7.970404640735656,reus
-7.970404640735656,veneo
-7.970404640735656,testis
-7.970404640735656,dignus
-7.984589275727613,quare
-7.984589275727613,fateor
-7.984589275727613,sto
-7.998978013179712,laus
-7.998978013179712,mereo
-7.998978013179712,cado
-7.998978013179712,exerceo
-8.013576812600865,Roma
-8.013576812600865,amicitia
-8.013576812600865,colo
-8.013576812600865,provincia
-8.013576812600865,spero
-8.013576812600865,scilicet
-8.013576812600865,vendo
-8.013576812600865,diligo
-8.028391898386005,conscribo
-8.028391898386005,gigno
-8.028391898386005,pareo
-8.028391898386005,curo
-8.028391898386005,recipio
-8.028391898386005,alienus
-8.043429775750546,exemplum
-8.043429775750546,vereor
-8.043429775750546,prius
-8.043429775750546,signum
-8.043429775750546,pertineo
-8.043429775750546,ars
-8.043429775750546,praecipio
-8.043429775750546,odio
-8.043429775750546,os
-8.074201434417299,desum
-8.074201434417299,adsum
-8.074201434417299,simul
-8.074201434417299,caput
-8.074201434417299,amplus
-8.074201434417299,totum
-8.074201434417299,mulier
-8.074201434417299,scipio
-8.089949791385438,miles
-8.089949791385438,confiteor
-8.089949791385438,consequor
-8.089949791385438,desidero
-8.089949791385438,dius
-8.089949791385438,sol
-8.089949791385438,solvo
-8.10595013273188,ver
