Word,Count
"imperium",996
"locus",991
"cetera",991
"interim",990
"hi",990
"utique",982
"metu",978
"duobus",976
"iudicium",976
"dictum",975
"potestate",973
"nostris",972
"quicquam",969
"vir",966
"consilio",966
"tota",965
"dedit",964
"deos",962
"usus",957
"senatu",954
"es",954
"cn.",953
"huiusmodi",952
"magno",942
"hinc",942
"paulo",940
"aqua",939
"patres",939
"rursus",939
"vix",938
"generis",937
"populum",935
"senatum",935
"minime",935
"corpore",934
"s",933
"hostem",933
"hominibus",929
"umquam",927
"populus",922
"fore",922
"sane",921
"illos",918
"decem",910
"multum",910
"fide",910
"regnum",908
"diebus",908
"alter",908
"oratio",903
"sumus",903
"fuerint",902
"animus",895
"mea",895
"virtute",893
"domini",893
"parum",892
"cura",891
"equites",889
"quippe",886
"tres",886
"extra",885
"consulatum",885
"alias",883
"iterum",882
"quemadmodum",880
"bonis",879
"etsi",875
"animos",874
"paene",867
"sin",866
"legem",866
"ultra",865
"domum",862
"tandem",861
"alius",861
"romano",859
"severus",858
"suas",858
"rationem",856
"habeat",855
"amplius",854
"quomodo",854
"fuisset",854
"domino",853
"imperio",851
"alexander",850
"more",850
"terram",850
"vv",849
"morte",849
"utrum",847
"videatur",842
"quibusdam",842
"consilium",840
"ulla",840
"rege",837
"melius",836
"longe",835
"plebis",833
"donec",832
"earum",831
"pedes",830
"praeterea",829
"civitatis",829
"ipsos",826
"maior",820
"dici",819
"partibus",819
"tribus",813
"primus",813
"filii",812
"habuit",806
"quare",806
"videri",802
"legibus",801
"dixi",800
"suorum",799
"ipsam",797
"procul",797
"eiusdem",796
"plures",796
"patre",795
"data",793
"hos",793
"auctoritate",792
"pecuniam",791
"oculis",791
"mare",790
"legati",789
"naturae",789
"nostrae",786
"nocte",784
"altera",783
"leges",782
"pecunia",781
"spem",781
"quodam",780
"malum",778
"romanos",777
"spiritus",776
"dicam",775
"proelio",772
"unius",772
"interdum",770
"annis",769
"iter",768
"iubet",768
"fuerunt",766
"partim",765
"multi",764
"sententiam",761
"causis",759
"loca",759
"bonorum",759
"consulibus",758
"equitum",757
"quisquam",756
"solet",752
"viginti",743
"quidquid",741
"nondum",737
"provinciae",737
"tanto",736
"capite",735
"scriptum",733
"agere",733
"cons",731
"nullam",731
"namque",731
"imperii",730
"c",729
"alium",729
"opera",728
"romanus",728
"aciem",726
"consulem",724
"acie",724
"legiones",723
"manibus",722
"quanto",722
"naturam",721
"fama",720
"studio",720
"causae",719
"spe",718
"caesaris",717
"viii",717
"virum",715
"constat",714
"duas",713
"coepit",711
"oculos",710
"mortis",710
"libertatem",706
"scire",706
"totius",705
"finem",704
"duos",704
"tuum",702
"genera",700
"dec",699
"horum",699
"verborum",695
"alterius",695
"deorum",694
"dicendi",691
"plerumque",689
"romanum",686
"male",684
"mari",684
"hostibus",682
"lex",682
"diximus",681
"oratione",681
"fortunae",680
"virtus",679
"nominis",679
"facto",679
"paucis",678
"poterat",678
"hostis",677
"nostrum",677
"tui",676
"potestatem",675
"antea",674
"litteris",673
"gloria",673
"aliquis",672
"memoria",671
"etenim",670
"tuae",670
"periculum",669
"xv",668
"species",666
"meum",665
"causas",665
"meo",662
"singulis",661
"boni",660
"mala",660
"gratiam",658
"possint",658
"dicunt",658
"isdem",656
"vocant",655
"dicta",652
"factus",650
"pacem",648
"cumque",648
"unam",648
"april",647
"theodos",646
"periculo",646
"maximo",645
"plurimum",645
"civitatem",644
"militibus",644
"vera",644
"romanorum",643
"cuncta",643
"solis",643
"quadam",642
"profectus",642
"aetatis",642
"ordinem",641
"domus",640
"dare",639
"temporibus",639
"tuo",638
"mart",637
"naves",637
"italia",637
"graeci",637
"dicimus",636
"aliquo",635
"civitate",633
"nov",632
"liberos",632
"legatos",631
"pariter",631
"orationis",631
"undique",627
"facilius",626
"fidei",624
"immo",624
"semel",624
"viribus",624
"iuxta",623
"videretur",622
"toto",622
"nostro",619
"quaeque",618
"septem",615
"sex",614
"placuit",613
"utrumque",612
"poena",611
"annum",611
"medio",610
"idque",609
"oppidum",608
"signum",607
"scipio",607
"dominum",606
"voluntate",606
"liberis",605
"quotiens",605
"valentin",604
"protinus",604
"uero",603
"natus",603
"legis",602
"regi",602
"num",602
"consule",601
"pluribus",600
"haberet",600
"usu",599
"mater",599
"erunt",599
"postremo",598
"italiam",597
"speciem",597
"ideoque",596
"centum",595
"verbum",595
"sola",595
"honorius",594
"habebat",594
"multos",594
"quarum",594
"civium",593
"futurum",593
"fiat",592
"magnum",591
"opere",591
"loci",589
"via",588
"repente",588
"datum",588
"aetate",588
"faciunt",586
"casu",586
"anni",586
"episcopus",585
"nomina",584
"quondam",584
"fides",583
"neminem",582
"saepius",581
"dicuntur",580
"regni",578
"x",576
"aeque",575
"solent",575
"antoninus",574
"accepit",573
"praesidio",573
"mei",572
"triginta",571
"viro",570
"terrae",570
"vestra",569
"animis",569
"voce",569
"debere",568
"a.",565
"auxilium",563
"altero",562
"libro",561
"quicquid",560
"mille",560
"regno",558
"usum",558
"dicens",558
"proelium",557
"xxx",557
"solus",556
"aug",555
"ferre",555
"eandem",555
"modi",551
"viris",551
"aliam",551
"videntur",550
"aquam",550
"convenit",550
"crimen",550
"corpora",550
"has",550
"possent",548
"tuam",547
"pace",546
"specie",546
"merito",546
"liceat",545
"liber",545
"similiter",545
"respondit",545
"officio",544
"maiores",544
"quosdam",544
"eundem",544
"domi",542
"misit",542
"praetor",540
"plura",539
"domo",538
"dein",537
"initio",537
"valens",536
"ire",535
"dico",535
"gloriam",534
"oportere",532
"frater",532
"videbatur",532
"summum",532
"fiunt",532
"provincia",531
"virtutem",531
"fuerant",531
"maiore",530
"primis",530
"maxima",530
"fuga",529
"agros",528
"numerum",528
"tertio",525
"totam",525
"vellet",524
"mors",524
"viam",524
"malis",521
"motus",521
"bella",521
"testamento",520
"profecto",519
"casus",519
"xii",519
"media",519
"penitus",517
"nescio",517
"sept",516
"tantummodo",516
"copiis",516
"nullus",516
"duces",516
"vii",516
"peditum",515
"iul",514
"partis",514
"dari",513
"homine",513
"forma",513
"propria",513
"mali",512
"subito",511
"patriae",511
"nimis",511
"ferme",510
"foro",510
"ira",509
"ian",507
"t.",507
"sequitur",507
"impetu",506
"utriusque",506
"exemplum",505
"sanguine",505
"agrum",504
"utraque",504
"tertium",504
"b",503
"spes",502
"tribuni",501
"ordine",501
"inquam",500
"visum",500
"vires",500
"anima",500
"spiritum",500
"caelo",499
"aliquam",498
"libris",498
"fecisse",497
"mulier",497
"romana",497
"tempora",497
"heres",494
"miles",494
"dolore",493
"frustra",493
"nulli",492
"nostram",492
"gentium",491
"par",490
"virtutis",490
"lampadii",489
"malo",489
"principes",488
"possumus",488
"ultro",487
"nonne",487
"aliquem",487
"secundo",487
"copia",487
"poterit",487
"navibus",485
"fecerit",485
"animae",485
"quanta",485
"honor",482
"urbes",482
"civitates",482
"dux",482
"ejus",481
"illic",481
"olim",481
"honore",481
"arcadius",480
"ant",480
"patri",480
"uxorem",480
"viros",480
"memoriam",480
"plerique",479
"ore",479
"sermone",478
"summo",478
"ullo",477
"fortasse",477
"admodum",477
"arte",477
"multitudo",477
"mai",475
"plane",475
"legatis",475
"pecuniae",475
"ceteri",474
"venire",473
"caelum",473
"actio",470
"antequam",470
"operis",470
"singulos",470
"agro",469
"vinum",469
"iste",469
"soli",469
"victoria",468
"reges",468
"principis",468
"pertinet",468
"cicero",467
"officium",467
"manum",466
"theodosio",465
"provinciam",464
"ferro",464
"filios",464
"vere",464
"spatium",464
"pacis",463
"pugna",463
"acies",463
