Source,Pre,Pro,Post
"prose,Seneca, Lucius Annaeus","humanam dediscere, cum ex balneo inter manus elatus et in sella positus esset, dixisse interrogando: iam","sedeo","? </s><s> hunc tu ignorantem, an sedeat, putas scire an uiuat, an uideat, an otiosus sit? </s><s> non facile dixerim, utrum magis"
"prose,Livius, Titus","et totidem custodibus corporis; filiis, ut ternos inermes se cum introducerent, permisit. </s><s> ibi cum consedisset,''","sedeo","'' inquit'' miserrimus pater iudex inter duos filios, accusatorem parricidii et reum, aut conficti aut admissi"
"prose,Seneca, Lucius Annaeus","me ambulare: tunc demum ambulo cum hoc mihi dixi et adprobavi hanc opinionem meam; oportet me sedere: tunc demum","sedeo",". </s><s> Haec adsensio in virtute non est. </s><s> Puta enim prudentiam esse: quomodo adsentietur'' oportet me ambulare''? </s><s> Hoc natura"
"prose,Servius, Marius Honoratus",", ut, quotiens fuerint ADVia in loco, iungamus verba quae habent significationem in loco, ut puta, ibi sum, illic","sedeo",", intus; sto; et similia; quotiens sunt autem ADVia quae significant ad locum, iungamus ea his verbis similiter quae"
"prose,Servius, Marius Honoratus","praeponenda sunt, ratione colligitur. </s><s> Nam pergo proficiscor vado et huius modi mutationem significant, sto","sedeo","dormio et huius modi permansionem. </s><s> Loquellares praepositiones ideo dicuntur, quia semper cohaerent, ut conduco"
"prose,Servius, Marius Honoratus","'', non'' te dico'' dicimus. </s><s> Prima persona ante ultimam o septem litteras non habet, h o f k q y z; ceteras vero habet, e, ut","sedeo",", i, ut audio, u, ut annuo, b, ut libo, et; reliqua;, sicut in arte scripta sunt. </s><s> K ideo non potest praeponi o litterae,"
"prose,Servius, Marius Honoratus","legero, faveo favi faveram favero, venio veni veneram venero, fugio fugi fugeram fugero, facio feci feceram fecero,","sedeo","sedi sederam sedero, fodio fodi foderam fodero, video vidi videram videro, voveo vovi voveram vovero, foveo fovi"
"prose,Hieronymus","fidus gregis pastor per solitudinem. </s><s> Formicarum exemplo excitatur. </s><s> Post grande intervallum, dum solus in eremo","sedeo","et praeter caelum terramque nihil video, coepi mecum tacitus volvere et inter multa monachorum quoque contubernii"
"prose,Macarius Magnus: Sanctus","furatum ficus. </s><s> Dumque currunt, una ex iis cecidit, quam tollens comedi. </s><s> Quoties ergo ejus rei redit memoria, plorans","sedeo",". </s><s> Narravit Abbas Macarius: Iter agens aliquando per eremum, inveni calvariam mortui ad solum jacentem; quam cum"
