et, -3.5311858056925574
qui, -3.638488359606405
sum, -3.670040112186937
is, -3.6721643485827555
in, -3.8565436320898003
quis, -3.9649177370375805
non, -4.242347421510906
ut, -4.472079958365818
hic, -4.546016968194256
a, -4.5728542397655465
edo, -4.611992482092836
cum, -4.652725140892831
si, -4.666215487300271
ad, -4.6915199011418185
ego, -4.724285912598453
dico, -4.841630771524234
tu, -4.905574601987146
sed, -4.98628117337172
nos, -4.995435657925038
ille, -5.017210218523796
possum, -5.08712220772251
res, -5.10843525895446
de, -5.168746625410185
ex, -5.207927045807811
ipse, -5.225135017592248
se, -5.325635256367821
aut, -5.350003847384779
facio, -5.428940272843552
enim, -5.4381292732724145
video, -5.438883136858814
vos, -5.4506412848411605
habeo, -5.512411163511156
omnis, -5.592436961154508
etiam, -5.652924199574884
magnus, -5.654560287353651
autem, -5.723803816819106
nec, -5.739213999250156
atque, -5.751251537355606
fio, -5.798471175591069
eo, -5.799552256777442
per, -5.813988024281754
ea, -5.8322609579584865
vel, -5.837022204874905
volo, -5.929920920649976
causa, -5.941385027614655
alius, -5.9466967101548125
homo, -5.947010042446268
neque, -5.951407034454996
quidem, -5.981116934041292
ac, -5.998451791666709
deus, -6.027235572638825
idem, -6.038504259407936
tamen, -6.049206933639984
suus, -6.08489346203983
do, -6.0866936425439775
quod, -6.098292177786909
bonus, -6.130523158128188
verus, -6.1384612077490495
nam, -6.154914611252347
noster, -6.166165942360441
nihil, -6.191853978038989
multus, -6.192254378444739
quisque, -6.216166358683296
omne, -6.2360510237989555
iam, -6.245721059210529
ago, -6.2589043247763945
ito, -6.2614761221647655
ne, -6.264915506466675
unus, -6.295525679464931
tuus, -6.300422194923585
debeo, -6.332617222190007
pro, -6.34607138013483
pars, -6.388042251705579
tempus, -6.39145772221294
verbum, -6.3939045059146675
S, -6.400294304013438
quia, -6.4047420504116745
tum, -6.4097073039095775
aliquis, -6.419209751005974
quidam, -6.432870474448051
modus, -6.435931701328435
nisi, -6.442082412671965
animus, -6.449306386295998
iste, -6.513465210841098
pater, -6.515676378132284
primus, -6.519002323548556
nullus, -6.520113434773979
utor, -6.521225781940953
lego, -6.5324178405698605
cio, -6.552310511312064
filius, -6.5574903790089065
inquit, -6.562117339259052
sic, -6.581433128558343
inter, -6.594520763313711
nomen, -6.596318785973718
Romanus, -6.608996287487497
tantus, -6.60960400552504
venio, -6.612648147906268
ei, -6.616313393304564
meus, -6.626771809147406
populus, -6.63734076049664
nunc, -6.638591542398292
an, -6.6392175205095
dies, -6.6404706535055675
imperator, -6.6404706535055675
ius, -6.651186167318692
puto, -6.656905915991479
parvus, -6.661377338324881
apud, -6.665868844111178
fero, -6.6671558455758255
ratio, -6.671026818151446
credo, -6.701879281634211
audio, -6.703213504647347
vis, -6.708568269785007
quaero, -6.725489147273344
vester, -6.73923506817798
scio, -6.760921822267994
igitur, -6.769444601129977
tam, -6.783089337059754
accipio, -6.783812664396897
queo, -6.791803989162198
post, -6.793994570542016
ubi, -6.810207158519839
scribo, -6.818413097890162
ita, -6.822917610011267
corpus, -6.842675091599667
senatus, -6.869903533727341
rex, -6.878616460134265
neo, -6.889816577213801
alter, -6.893039787095369
vir, -6.8962734196624345
urbs, -6.919206447626981
locus, -6.921695042855746
lex, -6.926690890049118
contra, -6.928361734213935
genus, -6.93760161515528
deinde, -6.93760161515528
dominus, -6.9392908047461255
consul, -6.948632698587554
ergo, -6.958924384624102
at, -6.959786825384761
quisquam, -6.959786825384761
iudico, -6.960650010591571
hoc, -6.964110221656467
mitto, -6.976316127335971
vita, -6.989561354085992
duo, -6.993123245652352
capio, -7.001184193913985
pono, -7.0074990547726586
sino, -7.010217679011652
iubeo, -7.0147652084492815
itaque, -7.022084545791552
suum, -7.023922781603303
peto, -7.041556649204372
liber, -7.0453089988229225
virtus, -7.048132530110529
intellego, -7.051909682854275
hostis, -7.059507060328215
nemo, -7.071977245905083
relinquo, -7.083627863125059
gero, -7.0846049027728855
oporteo, -7.085582897960863
mors, -7.091471040586085
annus, -7.091471040586085
nascor, -7.10036877600595
oratio, -7.101362318064828
quoque, -7.101362318064828
iudicium, -7.103352368472837
quasi, -7.106344889409291
publicus, -7.115376561439639
d, -7.121443314121876
semper, -7.122458027552423
vivo, -7.122458027552423
sentio, -7.123473771672258
respondeo, -7.127547097059894
civitas, -7.129589998689695
modo, -7.135743864264073
voco, -7.137803597227084
totus, -7.145046256926387
appello, -7.1544359972762255
duco, -7.15548476507031
vero, -7.159690870114584
quoniam, -7.177766854038921
sequor, -7.186387597082828
loquor, -7.1994596786501805
sententia, -7.2138166342528915
locum, -7.216043806665716
certus, -7.217159255749581
C, -7.223878205998327
alium, -7.240875782366897
teneo, -7.24775654345912
M, -7.258167279476959
opus, -7.266340121232833
consilium, -7.273398974072458
terra, -7.274580309118289
malus, -7.2876679438736565
manus, -7.290066026557669
dum, -7.29729497370082
fides, -7.307015584871443
solus, -7.316831614609099
refero, -7.318065421058027
nego, -7.3205376102034165
ob, -7.3205376102034165
bellus, -7.329238721656153
sive, -7.330487941056584
pario, -7.334244989934297
moveo, -7.338016207477376
e, -7.339276447089664
P, -7.340538276910086
bellum, -7.343066723263445
no, -7.349415950942103
antes, -7.351966972733709
pecunia, -7.357088622853764
propter, -7.360947148541293
rego, -7.3726128673572555
ante, -7.3778416374400555
patior, -7.379153113037866
aio, -7.3817812354441354
trado, -7.393694016960377
domus, -7.407099043428425
invenio, -7.415229169511675
doceo, -7.4220551345820756
sine, -7.431690446565748
quantus, -7.434460531439563
frater, -7.444216706384927
